Brand,Score
지오다노,3
모이몰른,1
날씨요정,1
치크,1
오즈키즈,1
HAS,1
BAY-B,1
카르닉,1
제비표우의,1
베베드피노,2
RAINFREEM,1
바니키즈,1
노르디코,1
빔보빔바,1
에끌,1
단다니,2
브루클린웍스,2
다이소,3
아가방,3
밀로앤개비,2
스프렉스,2
블랙야크,3
이케아,3
코코리따,2
어니우니,2
산리오,1
로엠걸즈,1
니코앤드,1
돗투돗,1
네파,2
몽벨,2
스몰리,2
FRANCFRANC,2
가드맨,2
네이처하이크,2
스콕스,1
아이엘드,1
데카트론,1
블루독,1
페리미츠,1
나이키,3
929,1
K2,3
디어레인,2
아이더,3
밀레,3
슈펜키즈,2
베네통키즈,2
TS,1
씨티라이프,1
MEC,3
율그란,2
밀리밤,2
에버랜드리조트,1
핑크퐁,1
아이러브제이,1
데일리라이크,1
한스펌킨,2
자라,3
센시엠,2
테슬라,2
시나모롤,2
스테판조셉,2
온아이,2
헌터,1
해피랜드,2
피터젠슨,1
레노마,3
베어버스,1
마운티아,1
캐스키드슨,2
보보쇼즈,2
JAJU,3
피치애플,1
리틀그라운드,1
뉴엔,1
웨스트우드,2
헬로키티,2
베베슈에뜨,2
뉴발란스키즈,3
모비가든,2
스케이터,3
유호랑,2
MILLET,3
바버,2
스파오,3
밍크뮤,1
허그미,1
메디위,1
로로샤,1
노스페이스키즈,3
프리미에쥬르,2
씨투써밋,1
따블리에,1
H&M,3
헬리콘텍스,2
스토리빙,2
캔디베이비,1
BUCK703,1
노스페이스,3
아트박스,2
엠케이,3
아가타,2
압소바,1
마이독스,1
프리마클라쎄,1
디즈니,3
무민,3
아이스비스킷,2
모던하우스,3
베비몽,2
듀플렉스,3
도로시,1
미니도우,1
콜핑,1
행운이네,2
BCBG,1
데이비스,1
린덴,1
블루독베이비,1
캔버라,1
페니스칼란,2
니엘로,1
울프라운치,2
블루마운틴,2
미키하우스,1
피엘라벤,1
엑스피크,1
쉬즈미스,2
오조크,2
리스트,1
보브,3
씨씨콜렉트,3
ZOOC,3
SOUP,3
더아이잗,2
미쏘,3
아뜨랑스,2
올리브데올리브,2
비지트인뉴욕,2
꼼빠니아,3
아쿠아스큐텀,2
나이스클랍,1
로엠,1
크로커다일레이디,3
온앤온,3
올리비아로렌,3
라인,2
잇미샤,2
스튜디오톰보이,3
아이잗바바,3
케네스레이디,2
시슬리,2
리베레츠,3
듀엘,3
JJ지고트,3
더아이잗컬렉션,3
시스티나,3
지컷,2
enc,3
지센,2
베스띠벨리,2
SI,3
에잇세컨즈,3
코펜하겐럭스,3
GGPX,2
미센스,2
쥬시쥬디,1
올리비아하슬러,3
COS,3
브리엘,2
지고트,1
리오벨,1
SIGNATURE,1
제너럴아이디어,1
샐리,2
무인양품,3
머스트비,2
미니멈,2
반에이크,1
Calvin Klein Performance,3
카인드,2
마르조,2
안지크,2
르아브,1
르오트,1
발렌시아,3
라인어디션,3
랩,3
키이스,2
플라스틱아일랜드,3
까웨,2
베네통,3
폴앤조,3
PAT,3
샤트렌,3
레노마레이디스,2
조이너스,2
에잇컨셉,3
솔로이스트,2
후라밍고,3
헤지스,3
린,2
코벳블랑,2
캐리스노트,1
버커루,1
레코브,1
더틸버리,1
엠씨,3
라우렐,2
보니스팍스,1
나인,2
포커스,1
조르쥬레쉬,2
요하넥스,1
르샵,1
아테스토니,1
셀렙샵,2
프롬헤드투토,2
CLOVIS,2
리안뉴욕,1
에고이스트,2
베라왕,3
로렌하이,3
앤클라인,3
올앤선드리,3
ab.f.z,2
닥스,3
벨라디터치,2
써스데이아일랜드,3
세루티,3
기비,3
무자크,2
제시뉴욕,1
루어스룸,3
타미힐피거,3
빈폴레이디스,3
올리비에스클로젯,3
악녀일기,1
마인드브릿지,3
Calvin Klein Underwear,3
비비안,3
게스언더웨어,3
