Title,Low price,Mall Name,Product Type,Maker,Brand,category1,category2,category3,Price_range,Maker Point,Brand Point,Price_range_score,Total Point
지오다노  372513,21930,네이버,1,지오다노,지오다노,패션의류,여성의류,레인코트,Very Cheap,1,3,2,7
모이몰른  아동 장화 아기옷 어린이집등원룩,35000,모이몰른에덴,2,한세드림,모이몰른,출산/육아,유아동의류,레인코트,Very Cheap,1,1,2,4
EVA ,10900,SABU,2,No-Maker,NO-Brand,패션의류,남성의류,레인코트,Very Cheap,0,0,2,2
날씨요정 아기공룡 유아  장화세트,23800,날씨요정,2,No-Maker,날씨요정,출산/육아,유아동의류,레인코트,Very Cheap,0,1,2,3
유가모아 어린이 판초 키즈 아동 여아 남아,15900,유가모아,2,No-Maker,NO-Brand,출산/육아,유아동의류,레인코트,Very Cheap,0,0,2,2
치크 SH02 튤립 플라워  CKUC22S1G,19300,네이버,1,No-Maker,치크,출산/육아,유아동의류,레인코트,Very Cheap,0,1,2,3
모이몰른  판초 유아 아동 장화세트,35000,모이몰른 전주서신,2,한세드림,모이몰른,출산/육아,유아동의류,레인코트,Very Cheap,1,1,2,4
여성 ,17390,네이버,1,No-Maker,NO-Brand,패션의류,여성의류,레인코트,Very Cheap,0,0,2,2
 도롱이 남자 오토바이 판쵸 남성 배달,15900,코어파트,2,No-Maker,NO-Brand,패션의류,남성의류,레인코트,Very Cheap,0,0,2,2
오즈키즈 유아 판초 깃털같은,29900,네이버,1,오즈키즈,오즈키즈,출산/육아,유아동의류,레인코트,Very Cheap,1,1,2,4
코스트코 HAS 아동 레인 자켓 유아 어린이 초등학생 ,37970,코스트블랙,2,No-Maker,HAS,출산/육아,유아동의류,레인코트,Cheap,0,1,2,3
[BAY-B] 유아 아동  우산 가방덮개,4900,bayb,2,No-Maker,BAY-B,출산/육아,유아동의류,레인코트,Very Cheap,0,1,2,3
카르닉 아웃도어 판초 KR001,13800,네이버,1,신세계코리아,카르닉,패션의류,남성의류,레인코트,Very Cheap,1,1,2,4
해즈 HAS 아동 폴리  레인자켓/ 코스트코,32990,굿 바이즈,2,No-Maker,HAS,출산/육아,유아동의류,레인코트,Very Cheap,0,1,2,3
제비표 ,11000,물건파는청년,2,No-Maker,제비표우의,패션의류,남성의류,레인코트,Very Cheap,0,1,2,3
